region	chr	midPos	Nsites
(4802976,4808342)(16600801,16632729)(16600000,16650000)	Chr05	16625000	5368	0.208454
(4808343,4811745)(16656880,16694485)(16650000,16700000)	Chr05	16675000	3404	0.247238
(4811746,4819542)(16704250,16718337)(16700000,16750000)	Chr05	16725000	7798	0.142463
(4819543,4825415)(16752074,16779559)(16750000,16800000)	Chr05	16775000	5874	0.215266
(4825416,4829097)(16806865,16849999)(16800000,16850000)	Chr05	16825000	3683	0.106903
(4829098,4833175)(16850000,16899999)(16850000,16900000)	Chr05	16875000	4079	0.276096
(4833176,4842811)(16900000,16943159)(16900000,16950000)	Chr05	16925000	9637	0.247869
(4842812,4860975)(16961365,16995108)(16950000,17000000)	Chr05	16975000	18165	0.164683
(4860976,4867579)(17005424,17047157)(17000000,17050000)	Chr05	17025000	6605	0.180493
(4867580,4879041)(17061415,17099999)(17050000,17100000)	Chr05	17075000	11463	0.162628
(4879042,4883189)(17100000,17138142)(17100000,17150000)	Chr05	17125000	4149	0.162533
(4883190,4884221)(17176571,17199999)(17150000,17200000)	Chr05	17175000	1033	0.174937
(4884222,4896555)(17200000,17241331)(17200000,17250000)	Chr05	17225000	12335	0.155749
(4896556,4905058)(17256792,17298868)(17250000,17300000)	Chr05	17275000	8504	0.189981
(4905059,4915353)(17302280,17345833)(17300000,17350000)	Chr05	17325000	10296	0.167702
(4915354,4923843)(17353146,17392889)(17350000,17400000)	Chr05	17375000	8491	0.276396
(4923844,4924187)(17425470,17442079)(17400000,17450000)	Chr05	17425000	345	0.117545
(4924188,4924917)(17463435,17468611)(17450000,17500000)	Chr05	17475000	731	0.413489
(4924918,4926965)(17536787,17541564)(17500000,17550000)	Chr05	17525000	2049	0.362608
(4926966,4927575)(17555717,17598567)(17550000,17600000)	Chr05	17575000	611	0.236560
(4927576,4932919)(17602467,17648786)(17600000,17650000)	Chr05	17625000	5345	0.163591
(4932920,4940142)(17650670,17695637)(17650000,17700000)	Chr05	17675000	7224	0.250875
(4940143,4941904)(17713960,17739327)(17700000,17750000)	Chr05	17725000	1763	0.387635
(4941905,4947382)(17754461,17798141)(17750000,17800000)	Chr05	17775000	5479	0.207819
(4947383,4958157)(17802781,17849999)(17800000,17850000)	Chr05	17825000	10776	0.233844
(4958158,4967811)(17850000,17899172)(17850000,17900000)	Chr05	17875000	9655	0.220215
(4967812,4973719)(17917296,17937822)(17900000,17950000)	Chr05	17925000	5909	0.278003
(4973720,4981913)(17951917,17991479)(17950000,18000000)	Chr05	17975000	8195	0.320925
(4981914,4982211)(18042515,18045562)(18000000,18050000)	Chr05	18025000	299	0.294259
(4982212,4983215)(18050227,18099111)(18050000,18100000)	Chr05	18075000	1005	0.211743
(4983216,4984768)(18116092,18149935)(18100000,18150000)	Chr05	18125000	1554	0.165035
(4984769,4986383)(18150005,18194241)(18150000,18200000)	Chr05	18175000	1616	0.267537
(4986384,4992860)(18204961,18249999)(18200000,18250000)	Chr05	18225000	6478	0.295921
(4992861,4997746)(18250000,18277016)(18250000,18300000)	Chr05	18275000	4887	0.157432
(4997747,4999155)(18307480,18347103)(18300000,18350000)	Chr05	18325000	1410	0.199140
(4999156,5003072)(18354171,18390633)(18350000,18400000)	Chr05	18375000	3918	0.332102
(5003073,5014426)(18410217,18442631)(18400000,18450000)	Chr05	18425000	11355	0.484271
(5014427,5022233)(18452064,18498435)(18450000,18500000)	Chr05	18475000	7808	0.323330
(5022234,5034866)(18500131,18549562)(18500000,18550000)	Chr05	18525000	12634	0.257345
(5034867,5059834)(18550172,18599998)(18550000,18600000)	Chr05	18575000	24969	0.128977
(5059835,5072145)(18609266,18649999)(18600000,18650000)	Chr05	18625000	12312	0.180591
(5072146,5090798)(18650000,18697689)(18650000,18700000)	Chr05	18675000	18654	0.221002
(5090799,5095756)(18712662,18737706)(18700000,18750000)	Chr05	18725000	4959	0.312598
(5095757,5101897)(18751916,18799954)(18750000,18800000)	Chr05	18775000	6142	0.230019
(5101898,5113389)(18800019,18849999)(18800000,18850000)	Chr05	18825000	11493	0.262345
(5113390,5138685)(18850000,18896054)(18850000,18900000)	Chr05	18875000	25297	0.167460
(5138686,5152945)(18903837,18949691)(18900000,18950000)	Chr05	18925000	14261	0.154002
(5152946,5163825)(18950207,18996912)(18950000,19000000)	Chr05	18975000	10881	0.265537
(5163826,5179585)(19000359,19044863)(19000000,19050000)	Chr05	19025000	15761	0.313136
(5179586,5184336)(19053561,19099978)(19050000,19100000)	Chr05	19075000	4752	0.296328
(5184337,5189491)(19100179,19149999)(19100000,19150000)	Chr05	19125000	5156	0.179133
(5189492,5199108)(19150000,19196724)(19150000,19200000)	Chr05	19175000	9618	0.218405
(5199109,5212669)(19200139,19249999)(19200000,19250000)	Chr05	19225000	13562	0.359717
(5212670,5230766)(19250000,19299999)(19250000,19300000)	Chr05	19275000	18098	0.165927
(5230767,5243826)(19300000,19349999)(19300000,19350000)	Chr05	19325000	13061	0.193567
(5243827,5252317)(19350000,19399921)(19350000,19400000)	Chr05	19375000	8492	0.192620
(5252318,5266996)(19400075,19441400)(19400000,19450000)	Chr05	19425000	14680	0.170260
(5266997,5273088)(19454582,19471629)(19450000,19500000)	Chr05	19475000	6093	0.174751
(5273089,5291422)(19501302,19549074)(19500000,19550000)	Chr05	19525000	18335	0.229187
(5291423,5312928)(19551714,19599619)(19550000,19600000)	Chr05	19575000	21507	0.217791
(5312929,5329070)(19602400,19648857)(19600000,19650000)	Chr05	19625000	16143	0.229193
(5329071,5345022)(19651491,19699999)(19650000,19700000)	Chr05	19675000	15953	0.180605
(5345023,5355449)(19700000,19739942)(19700000,19750000)	Chr05	19725000	10428	0.150293
(5355450,5367655)(19757722,19793406)(19750000,19800000)	Chr05	19775000	12207	0.081081
(5367656,5386792)(19801718,19842004)(19800000,19850000)	Chr05	19825000	19138	0.142782
(5386793,5412664)(19850842,19899999)(19850000,19900000)	Chr05	19875000	25873	0.280579
(5412665,5436269)(19900000,19949999)(19900000,19950000)	Chr05	19925000	23606	0.299897
(5436270,5457612)(19950000,19999999)(19950000,20000000)	Chr05	19975000	21344	0.203081
(5457613,5469873)(20000000,20048525)(20000000,20050000)	Chr05	20025000	12262	0.240812
(5469874,5473323)(20053340,20095136)(20050000,20100000)	Chr05	20075000	3451	0.164681
(5473324,5480777)(20100792,20149999)(20100000,20150000)	Chr05	20125000	7455	0.099055
(5480778,5496045)(20150000,20198086)(20150000,20200000)	Chr05	20175000	15269	0.108748
(5496046,5499965)(20201252,20249999)(20200000,20250000)	Chr05	20225000	3921	0.153336
(5499966,5510909)(20250000,20299532)(20250000,20300000)	Chr05	20275000	10945	0.187289
(5510910,5528094)(20306642,20347494)(20300000,20350000)	Chr05	20325000	17186	0.151394
(5528095,5543846)(20354143,20399999)(20350000,20400000)	Chr05	20375000	15753	0.176179
(5543847,5563384)(20400000,20449168)(20400000,20450000)	Chr05	20425000	19539	0.117361
(5563385,5573585)(20450231,20499999)(20450000,20500000)	Chr05	20475000	10202	0.161787
(5573586,5597130)(20500000,20549999)(20500000,20550000)	Chr05	20525000	23546	0.273759
(5597131,5607095)(20550000,20599999)(20550000,20600000)	Chr05	20575000	9966	0.191844
(5607096,5620694)(20600000,20644771)(20600000,20650000)	Chr05	20625000	13600	0.158342
(5620695,5629131)(20656784,20698442)(20650000,20700000)	Chr05	20675000	8438	0.203048
(5629132,5650789)(20706009,20749996)(20700000,20750000)	Chr05	20725000	21659	0.176715
(5650790,5673481)(20753964,20799999)(20750000,20800000)	Chr05	20775000	22693	0.252836
(5673482,5691905)(20800000,20849999)(20800000,20850000)	Chr05	20825000	18425	0.380504
(5691906,5714935)(20850000,20899509)(20850000,20900000)	Chr05	20875000	23031	0.340328
(5714936,5731283)(20900143,20949921)(20900000,20950000)	Chr05	20925000	16349	0.206636
(5731284,5745009)(20950977,20999999)(20950000,21000000)	Chr05	20975000	13727	0.262560
(5745010,5761284)(21000000,21045374)(21000000,21050000)	Chr05	21025000	16276	0.309668
(5761285,5781007)(21051066,21099261)(21050000,21100000)	Chr05	21075000	19724	0.245742
(5781008,5808181)(21100839,21149999)(21100000,21150000)	Chr05	21125000	27175	0.230429
(5808182,5829345)(21150000,21197307)(21150000,21200000)	Chr05	21175000	21165	0.235247
(5829346,5847771)(21201079,21249883)(21200000,21250000)	Chr05	21225000	18427	0.221152
(5847772,5865489)(21254540,21294005)(21250000,21300000)	Chr05	21275000	17719	0.354745
(5865490,5886782)(21304439,21349999)(21300000,21350000)	Chr05	21325000	21294	0.328869
(5886783,5905635)(21350000,21396137)(21350000,21400000)	Chr05	21375000	18854	0.521120
(5905636,5932994)(21400311,21449999)(21400000,21450000)	Chr05	21425000	27360	0.229160
(5932995,5962095)(21450000,21499050)(21450000,21500000)	Chr05	21475000	29102	0.280479
(5962096,5979186)(21500488,21549413)(21500000,21550000)	Chr05	21525000	17092	0.372221
(5979187,5987675)(21550460,21598840)(21550000,21600000)	Chr05	21575000	8490	0.329244
(5987676,5993627)(21600335,21648274)(21600000,21650000)	Chr05	21625000	5953	0.161872
(5993628,6010511)(21650715,21699999)(21650000,21700000)	Chr05	21675000	16885	0.321217
(6010512,6030209)(21700000,21749970)(21700000,21750000)	Chr05	21725000	19699	0.186616
(6030210,6049259)(21750083,21799999)(21750000,21800000)	Chr05	21775000	19051	0.258255
(6049260,6071548)(21800000,21849660)(21800000,21850000)	Chr05	21825000	22290	0.293032
(6071549,6090663)(21851681,21897472)(21850000,21900000)	Chr05	21875000	19116	0.243917
(6090664,6109774)(21907989,21947313)(21900000,21950000)	Chr05	21925000	19112	0.436277
(6109775,6131376)(21957144,21999591)(21950000,22000000)	Chr05	21975000	21603	0.328065
(6131377,6146102)(22001653,22047674)(22000000,22050000)	Chr05	22025000	14727	0.272986
(6146103,6165056)(22053273,22099999)(22050000,22100000)	Chr05	22075000	18955	0.263940
(6165057,6195141)(22100000,22149999)(22100000,22150000)	Chr05	22125000	30086	0.325076
(6195142,6217280)(22150000,22199999)(22150000,22200000)	Chr05	22175000	22140	0.171730
(6217281,6237027)(22200000,22248552)(22200000,22250000)	Chr05	22225000	19748	0.157621
(6237028,6257529)(22260641,22299261)(22250000,22300000)	Chr05	22275000	20503	0.195135
(6257530,6278828)(22300204,22347154)(22300000,22350000)	Chr05	22325000	21300	0.234762
(6278829,6300720)(22351975,22396488)(22350000,22400000)	Chr05	22375000	21893	0.328969
(6300721,6320197)(22400037,22448113)(22400000,22450000)	Chr05	22425000	19478	0.463670
(6320198,6339143)(22452400,22499602)(22450000,22500000)	Chr05	22475000	18947	0.286706
(6339144,6359929)(22502556,22546303)(22500000,22550000)	Chr05	22525000	20787	0.190679
(6359930,6384148)(22550667,22599853)(22550000,22600000)	Chr05	22575000	24220	0.203008
(6384149,6413425)(22600274,22649999)(22600000,22650000)	Chr05	22625000	29278	0.118765
(6413426,6434603)(22650000,22698391)(22650000,22700000)	Chr05	22675000	21179	0.263824
(6434604,6454405)(22701634,22747928)(22700000,22750000)	Chr05	22725000	19803	0.321002
(6454406,6481617)(22750407,22799999)(22750000,22800000)	Chr05	22775000	27213	0.141021
(6481618,6509282)(22800000,22849999)(22800000,22850000)	Chr05	22825000	27666	0.296147
(6509283,6523343)(22850000,22899783)(22850000,22900000)	Chr05	22875000	14062	0.331705
(6523344,6552420)(22900017,22949784)(22900000,22950000)	Chr05	22925000	29078	0.300654
(6552421,6570384)(22953094,22999999)(22950000,23000000)	Chr05	22975000	17965	0.199979
(6570385,6602343)(23000000,23049999)(23000000,23050000)	Chr05	23025000	31960	0.282652
(6602344,6626561)(23050000,23099999)(23050000,23100000)	Chr05	23075000	24219	0.143539
(6626562,6649544)(23100000,23147810)(23100000,23150000)	Chr05	23125000	22984	0.115239
(6649545,6677336)(23150248,23199999)(23150000,23200000)	Chr05	23175000	27793	0.150730
(6677337,6694618)(23200000,23244546)(23200000,23250000)	Chr05	23225000	17283	0.181423
(6694619,6710953)(23250156,23299999)(23250000,23300000)	Chr05	23275000	16336	0.157968
(6710954,6738499)(23300000,23349999)(23300000,23350000)	Chr05	23325000	27547	0.162697
(6738500,6761083)(23350000,23399999)(23350000,23400000)	Chr05	23375000	22585	0.205764
(6761084,6771817)(23400000,23449999)(23400000,23450000)	Chr05	23425000	10735	0.320593
(6771818,6800323)(23450000,23499999)(23450000,23500000)	Chr05	23475000	28507	0.197723
(6800324,6830725)(23500000,23549604)(23500000,23550000)	Chr05	23525000	30403	0.178258
(6830726,6849316)(23550237,23592316)(23550000,23600000)	Chr05	23575000	18592	0.177288
(6849317,6880099)(23600249,23649999)(23600000,23650000)	Chr05	23625000	30784	0.258679
(6880100,6908014)(23650000,23699999)(23650000,23700000)	Chr05	23675000	27916	0.193389
(6908015,6940421)(23700000,23749207)(23700000,23750000)	Chr05	23725000	32408	0.198196
(6940422,6962879)(23750726,23799947)(23750000,23800000)	Chr05	23775000	22459	0.152962
(6962880,6987218)(23800179,23849999)(23800000,23850000)	Chr05	23825000	24340	0.212185
(6987219,7004203)(23850000,23897313)(23850000,23900000)	Chr05	23875000	16986	0.197945
(7004204,7027891)(23901400,23949235)(23900000,23950000)	Chr05	23925000	23689	0.211699
(7027892,7046444)(23951971,23999999)(23950000,24000000)	Chr05	23975000	18554	0.187254
(7046445,7068583)(24000000,24049999)(24000000,24050000)	Chr05	24025000	22140	0.216632
(7068584,7091891)(24050000,24096826)(24050000,24100000)	Chr05	24075000	23309	0.256406
(7091892,7117355)(24102463,24149370)(24100000,24150000)	Chr05	24125000	25465	0.264631
(7117356,7136133)(24159825,24199999)(24150000,24200000)	Chr05	24175000	18779	0.093868
(7136134,7163736)(24200000,24249999)(24200000,24250000)	Chr05	24225000	27604	0.103918
(7163737,7194675)(24250000,24296819)(24250000,24300000)	Chr05	24275000	30940	0.192704
(7194676,7215926)(24300283,24349999)(24300000,24350000)	Chr05	24325000	21252	0.213861
(7215927,7243634)(24350000,24399998)(24350000,24400000)	Chr05	24375000	27709	0.166253
(7243635,7261392)(24400030,24449827)(24400000,24450000)	Chr05	24425000	17759	0.167003
(7261393,7283421)(24450867,24499999)(24450000,24500000)	Chr05	24475000	22030	0.403037
(7283422,7311855)(24500000,24549999)(24500000,24550000)	Chr05	24525000	28435	0.221689
(7311856,7337035)(24550000,24599999)(24550000,24600000)	Chr05	24575000	25181	0.232841
(7337036,7364252)(24600000,24649403)(24600000,24650000)	Chr05	24625000	27218	0.183643
(7364253,7381819)(24651482,24699870)(24650000,24700000)	Chr05	24675000	17568	0.261059
(7381820,7406301)(24700314,24748556)(24700000,24750000)	Chr05	24725000	24483	0.180108
(7406302,7426846)(24750269,24799999)(24750000,24800000)	Chr05	24775000	20546	0.179932
(7426847,7454867)(24800000,24849999)(24800000,24850000)	Chr05	24825000	28022	0.160916
(7454868,7480413)(24850000,24899999)(24850000,24900000)	Chr05	24875000	25547	0.242073
(7480414,7499171)(24900000,24949603)(24900000,24950000)	Chr05	24925000	18759	0.153399
(7499172,7523806)(24950039,24999715)(24950000,25000000)	Chr05	24975000	24636	0.234665
(7523807,7547180)(25001399,25049999)(25000000,25050000)	Chr05	25025000	23375	0.130589
(7547181,7570674)(25050000,25099999)(25050000,25100000)	Chr05	25075000	23495	0.161749
(7570675,7600853)(25100000,25149999)(25100000,25150000)	Chr05	25125000	30180	0.142827
(7600854,7623833)(25150000,25199106)(25150000,25200000)	Chr05	25175000	22981	0.105836
(7623834,7652533)(25203134,25248598)(25200000,25250000)	Chr05	25225000	28701	0.155005
(7652534,7679334)(25250077,25299513)(25250000,25300000)	Chr05	25275000	26802	0.143774
(7679335,7713298)(25301893,25349999)(25300000,25350000)	Chr05	25325000	33965	0.102289
(7713299,7743327)(25350000,25399999)(25350000,25400000)	Chr05	25375000	30030	0.113256
(7743328,7762989)(25400000,25447544)(25400000,25450000)	Chr05	25425000	19663	0.202923
(7762990,7795636)(25450212,25499336)(25450000,25500000)	Chr05	25475000	32648	0.131863
(7795637,7823415)(25500863,25549743)(25500000,25550000)	Chr05	25525000	27780	0.211339
(7823416,7854147)(25551385,25599999)(25550000,25600000)	Chr05	25575000	30733	0.149827
(7854148,7877869)(25600000,25649999)(25600000,25650000)	Chr05	25625000	23723	0.193859
(7877870,7898570)(25650000,25699999)(25650000,25700000)	Chr05	25675000	20702	0.323424
(7898571,7927809)(25700000,25749652)(25700000,25750000)	Chr05	25725000	29240	0.230794
(7927810,7950201)(25751431,25799999)(25750000,25800000)	Chr05	25775000	22393	0.190624
(7950202,7975095)(25800000,25849999)(25800000,25850000)	Chr05	25825000	24895	0.155234
(14554,44572)(50000,99999)(50000,100000)	Chr06	75000	30020	0.112241
(44573,67209)(100000,149999)(100000,150000)	Chr06	125000	22638	0.073824
(67210,81903)(150000,195968)(150000,200000)	Chr06	175000	14695	0.100563
(81904,110447)(201247,249999)(200000,250000)	Chr06	225000	28545	0.061386
(110448,133313)(250000,293777)(250000,300000)	Chr06	275000	22867	0.114019
(133314,170358)(301362,349999)(300000,350000)	Chr06	325000	37046	0.122959
(170359,199537)(350000,399999)(350000,400000)	Chr06	375000	29180	0.247732
(199538,216302)(400000,447310)(400000,450000)	Chr06	425000	16766	0.105951
(216303,227994)(451772,498068)(450000,500000)	Chr06	475000	11693	0.114834
(227995,246128)(500813,549520)(500000,550000)	Chr06	525000	18135	0.157136
(246129,254776)(550045,599910)(550000,600000)	Chr06	575000	8649	0.098432
(254777,277774)(600096,643668)(600000,650000)	Chr06	625000	22999	0.127123
(277775,298946)(652976,699999)(650000,700000)	Chr06	675000	21173	0.238373
(298947,319207)(700000,749953)(700000,750000)	Chr06	725000	20262	0.204275
(319208,340949)(756846,799929)(750000,800000)	Chr06	775000	21743	0.090480
(340950,356098)(800498,849957)(800000,850000)	Chr06	825000	15150	0.119123
(356099,368901)(850057,899203)(850000,900000)	Chr06	875000	12804	0.088809
(368902,389091)(901544,949999)(900000,950000)	Chr06	925000	20191	0.089040
(389092,406717)(950000,999081)(950000,1000000)	Chr06	975000	17627	0.104894
(406718,428247)(1001955,1047941)(1000000,1050000)	Chr06	1025000	21531	0.127527
(428248,455455)(1052803,1099999)(1050000,1100000)	Chr06	1075000	27209	0.157934
(455456,480412)(1100000,1149999)(1100000,1150000)	Chr06	1125000	24958	0.218287
(480413,504294)(1150000,1199646)(1150000,1200000)	Chr06	1175000	23883	0.195482
(504295,508151)(1200626,1242491)(1200000,1250000)	Chr06	1225000	3858	0.144120
(508152,514725)(1256764,1287867)(1250000,1300000)	Chr06	1275000	6575	0.169844
(514726,516321)(1302128,1343204)(1300000,1350000)	Chr06	1325000	1597	0.227111
(516322,517817)(1353171,1389662)(1350000,1400000)	Chr06	1375000	1497	0.248501
(517818,520682)(1408612,1449999)(1400000,1450000)	Chr06	1425000	2866	0.202001
(520683,553933)(1450000,1499958)(1450000,1500000)	Chr06	1475000	33252	0.335127
(553934,574306)(1500027,1545623)(1500000,1550000)	Chr06	1525000	20374	0.138671
(574307,591120)(1551371,1597635)(1550000,1600000)	Chr06	1575000	16815	0.078050
(591121,605927)(1601160,1649999)(1600000,1650000)	Chr06	1625000	14808	0.118000
(605928,635055)(1650000,1699999)(1650000,1700000)	Chr06	1675000	29129	0.199428
(635056,668182)(1700000,1749999)(1700000,1750000)	Chr06	1725000	33128	0.134981
(668183,698356)(1750000,1799886)(1750000,1800000)	Chr06	1775000	30175	0.119590
(698357,724844)(1800064,1849999)(1800000,1850000)	Chr06	1825000	26489	0.228472
(724845,732861)(1850000,1899999)(1850000,1900000)	Chr06	1875000	8018	0.212523
(732862,733893)(1900000,1943057)(1900000,1950000)	Chr06	1925000	1033	0.204027
(733894,736034)(1975755,1999138)(1950000,2000000)	Chr06	1975000	2142	0.104198
(736035,740427)(2000600,2049985)(2000000,2050000)	Chr06	2025000	4394	0.220484
(740428,747131)(2050007,2099963)(2050000,2100000)	Chr06	2075000	6705	0.186710
(747132,773875)(2101870,2149999)(2100000,2150000)	Chr06	2125000	26745	0.174405
(773876,798055)(2150000,2198709)(2150000,2200000)	Chr06	2175000	24181	0.138327
(798056,822001)(2200248,2248798)(2200000,2250000)	Chr06	2225000	23947	0.186747
(822002,839667)(2250540,2298520)(2250000,2300000)	Chr06	2275000	17667	0.215410
(839668,861576)(2309855,2349999)(2300000,2350000)	Chr06	2325000	21910	0.230188
(861577,889641)(2350000,2399839)(2350000,2400000)	Chr06	2375000	28066	0.209792
(889642,906748)(2400512,2448590)(2400000,2450000)	Chr06	2425000	17108	0.145721
(906749,929613)(2450484,2499625)(2450000,2500000)	Chr06	2475000	22866	0.198720
(929614,942682)(2500416,2548980)(2500000,2550000)	Chr06	2525000	13070	0.250447
(942683,952688)(2551524,2599321)(2550000,2600000)	Chr06	2575000	10007	0.222472
(952689,969304)(2600896,2649999)(2600000,2650000)	Chr06	2625000	16617	0.198473
(969305,990874)(2650000,2699999)(2650000,2700000)	Chr06	2675000	21571	0.278821
(990875,1010932)(2700000,2743493)(2700000,2750000)	Chr06	2725000	20059	0.335701
(1010933,1036143)(2750511,2799999)(2750000,2800000)	Chr06	2775000	25212	0.247381
(1036144,1064713)(2800000,2849027)(2800000,2850000)	Chr06	2825000	28571	0.245883
(1064714,1093098)(2852463,2899999)(2850000,2900000)	Chr06	2875000	28386	0.244281
(1093099,1110831)(2900000,2949999)(2900000,2950000)	Chr06	2925000	17734	0.157370
(1110832,1140896)(2950000,2997833)(2950000,3000000)	Chr06	2975000	30066	0.251901
(1140897,1152039)(3008224,3048729)(3000000,3050000)	Chr06	3025000	11144	0.163392
(1152040,1172522)(3050183,3099419)(3050000,3100000)	Chr06	3075000	20484	0.181921
(1172523,1194615)(3100546,3149999)(3100000,3150000)	Chr06	3125000	22094	0.212743
(1194616,1223778)(3150000,3199556)(3150000,3200000)	Chr06	3175000	29164	0.176466
(1223779,1254063)(3200652,3244653)(3200000,3250000)	Chr06	3225000	30286	0.175160
(1254064,1273855)(3253084,3299941)(3250000,3300000)	Chr06	3275000	19793	0.175191
(1273856,1304725)(3300100,3349999)(3300000,3350000)	Chr06	3325000	30871	0.317139
(1304726,1322249)(3350000,3399999)(3350000,3400000)	Chr06	3375000	17525	0.381312
(1322250,1343058)(3400000,3447688)(3400000,3450000)	Chr06	3425000	20810	0.217139
(1343059,1364398)(3452318,3498610)(3450000,3500000)	Chr06	3475000	21341	0.100015
(1364399,1392425)(3500378,3549999)(3500000,3550000)	Chr06	3525000	28028	0.135479
(1392426,1428146)(3550000,3599999)(3550000,3600000)	Chr06	3575000	35722	0.154588
(1428147,1446962)(3600000,3649999)(3600000,3650000)	Chr06	3625000	18817	0.123230
(1446963,1479745)(3650000,3699988)(3650000,3700000)	Chr06	3675000	32784	0.104826
(1479746,1509984)(3700845,3749999)(3700000,3750000)	Chr06	3725000	30240	0.137944
(1509985,1537424)(3750000,3796790)(3750000,3800000)	Chr06	3775000	27441	0.196996
(1537425,1553285)(3802078,3849999)(3800000,3850000)	Chr06	3825000	15862	0.208790
(1553286,1571104)(3850000,3899999)(3850000,3900000)	Chr06	3875000	17820	0.361536
(1571105,1590760)(3900000,3949999)(3900000,3950000)	Chr06	3925000	19657	0.149160
(1590761,1612136)(3950000,3999999)(3950000,4000000)	Chr06	3975000	21377	0.181137
(1612137,1641197)(4000000,4049925)(4000000,4050000)	Chr06	4025000	29062	0.147725
(1641198,1665072)(4050470,4099999)(4050000,4100000)	Chr06	4075000	23876	0.202631
(1665073,1692132)(4100000,4149999)(4100000,4150000)	Chr06	4125000	27061	0.196600
(1692133,1713936)(4150000,4198710)(4150000,4200000)	Chr06	4175000	21805	0.213323
(1713937,1729255)(4203690,4249999)(4200000,4250000)	Chr06	4225000	15320	0.217221
(1729256,1753352)(4250000,4299999)(4250000,4300000)	Chr06	4275000	24098	0.132085
(1753353,1782535)(4300000,4349999)(4300000,4350000)	Chr06	4325000	29184	0.077682
(1782536,1801712)(4350000,4398183)(4350000,4400000)	Chr06	4375000	19178	0.116610
(1801713,1823795)(4405380,4449465)(4400000,4450000)	Chr06	4425000	22084	0.096529
(1823796,1845075)(4451443,4499999)(4450000,4500000)	Chr06	4475000	21281	0.064183
(1845076,1880028)(4500000,4549628)(4500000,4550000)	Chr06	4525000	34954	0.066022
(1880029,1906500)(4551996,4599631)(4550000,4600000)	Chr06	4575000	26473	0.074754
(1906501,1934454)(4600231,4649999)(4600000,4650000)	Chr06	4625000	27955	0.089004
(1934455,1960508)(4650000,4692958)(4650000,4700000)	Chr06	4675000	26055	0.058084
(1960509,1983927)(4702542,4747849)(4700000,4750000)	Chr06	4725000	23420	0.094633
(1983928,2013147)(4751325,4799999)(4750000,4800000)	Chr06	4775000	29221	0.092985
(2013148,2038017)(4800000,4849201)(4800000,4850000)	Chr06	4825000	24871	0.134623
(2038018,2055606)(4856251,4896574)(4850000,4900000)	Chr06	4875000	17590	0.101123
(2055607,2080434)(4902910,4949654)(4900000,4950000)	Chr06	4925000	24829	0.108736
(2080435,2097539)(4951029,4999999)(4950000,5000000)	Chr06	4975000	17106	0.117004
(2097540,2117628)(5000000,5049899)(5000000,5050000)	Chr06	5025000	20090	0.128185
(2117629,2143292)(5050170,5099993)(5050000,5100000)	Chr06	5075000	25665	0.143771
(2143293,2160836)(5100041,5149999)(5100000,5150000)	Chr06	5125000	17545	0.127823
(2160837,2180535)(5150000,5196595)(5150000,5200000)	Chr06	5175000	19700	0.215879
(2180536,2202981)(5201123,5248926)(5200000,5250000)	Chr06	5225000	22447	0.128379
(2202982,2231628)(5252219,5298604)(5250000,5300000)	Chr06	5275000	28648	0.190033
(2231629,2253462)(5304286,5349999)(5300000,5350000)	Chr06	5325000	21835	0.120890
(2253463,2273897)(5350000,5399999)(5350000,5400000)	Chr06	5375000	20436	0.106226
(2273898,2291269)(5400000,5449999)(5400000,5450000)	Chr06	5425000	17373	0.133077
(2291270,2317235)(5450000,5499999)(5450000,5500000)	Chr06	5475000	25967	0.190022
(2317236,2341662)(5500000,5549999)(5500000,5550000)	Chr06	5525000	24428	0.256284
(2341663,2352594)(5550000,5597171)(5550000,5600000)	Chr06	5575000	10933	0.258896
(2352595,2366978)(5606130,5649935)(5600000,5650000)	Chr06	5625000	14385	0.166848
(2366979,2403588)(5650140,5699741)(5650000,5700000)	Chr06	5675000	36611	0.120056
(2403589,2430261)(5700006,5749997)(5700000,5750000)	Chr06	5725000	26674	0.221705
(2430262,2447327)(5750001,5798816)(5750000,5800000)	Chr06	5775000	17067	0.202350
(2447328,2467333)(5800700,5849999)(5800000,5850000)	Chr06	5825000	20007	0.248030
(2467334,2487371)(5850000,5895332)(5850000,5900000)	Chr06	5875000	20039	0.209066
(2487372,2514690)(5901634,5947569)(5900000,5950000)	Chr06	5925000	27320	0.337431
(2514691,2539375)(5951005,5999023)(5950000,6000000)	Chr06	5975000	24686	0.117077
(2539376,2567354)(6001956,6049999)(6000000,6050000)	Chr06	6025000	27980	0.140590
(2567355,2591854)(6050000,6099999)(6050000,6100000)	Chr06	6075000	24501	0.125239
(2591855,2619224)(6100000,6149999)(6100000,6150000)	Chr06	6125000	27371	0.171211
(2619225,2642529)(6150000,6199945)(6150000,6200000)	Chr06	6175000	23306	0.373500
(2642530,2657831)(6200105,6249999)(6200000,6250000)	Chr06	6225000	15303	0.202325
(2657832,2678194)(6250000,6299019)(6250000,6300000)	Chr06	6275000	20364	0.256710
(2678195,2701135)(6303312,6346714)(6300000,6350000)	Chr06	6325000	22942	0.215578
(2701136,2718087)(6350359,6399999)(6350000,6400000)	Chr06	6375000	16953	0.250642
(2718088,2745703)(6400000,6449999)(6400000,6450000)	Chr06	6425000	27617	0.162705
(2745704,2774036)(6450000,6499999)(6450000,6500000)	Chr06	6475000	28334	0.110310
(2774037,2790878)(6500000,6546680)(6500000,6550000)	Chr06	6525000	16843	0.179733
