AAAS 	NM_015665
FAM35A 	NM_019054
FAM3A 	NM_021806
FAM50A 	NM_004699
FAM50B 	NM_012135
FAM58A 	NM_152274
FAM63A 	NM_018379
FAM73B 	NM_032809
FAM8A1 	NM_016255
FAM96A 	NM_032231
FAM96B 	NM_016062
FAM98A 	NM_015475
FARS2 	NM_006567
FARSA 	NM_004461
FARSB 	NM_005687
FASTK 	NM_006712
FASTKD2 	NM_014929
FASTKD5 	NM_021826
FBRSL1 	NM_001142641
FBXL15 	NM_024326
FBXL17 	NM_001163315
FBXL3 	NM_012158
FBXL4 	NM_012160
FBXL5 	NM_012161
FBXL6 	NM_012162
FBXO11 	NM_025133
FBXO18 	NM_032807
FBXO22 	NM_012170
FBXO28 	NM_015176
FBXO3 	NM_012175
FBXO38 	NM_030793
FBXO42 	NM_018994
FBXO45 	NM_001105573
FBXO6 	NM_018438
FBXO7 	NM_012179
FBXW11 	NM_012300
FBXW2 	NM_012164
FBXW4 	NM_022039
FBXW5 	NM_018998
FBXW7 	NM_001257069
FCF1 	NM_015962
FDFT1 	NM_004462
FDPS 	NM_002004
FDX1 	NM_004109
FECH 	NM_000140
FEM1C 	NM_020177
FEN1 	NM_004111
FEZ2 	NM_005102
FGFR1OP2 	NM_015633
FH 	NM_000143
FIBP 	NM_004214
FICD 	NM_007076
FIP1L1 	NM_030917
FIS1 	NM_016068
FIZ1 	NM_032836
FKBP3 	NM_002013
FKBP8 	NM_012181
FKBPL 	NM_022110
FKRP 	NM_024301
FLAD1 	NM_025207
FLCN 	NM_144606
FLOT1 	NM_005803
FLOT2 	NM_004475
FNDC3A 	NM_014923
FNTA 	NM_002027
FNTB 	NM_002028
FOPNL 	NM_144600
FOXK2 	NM_004514
FOXP4 	NM_138457
FOXRED1 	NM_017547
FPGS 	NM_004957
FPGT 	NM_003838
FRA10AC1 	NM_145246
FTO 	NM_001080432
FTSJ1 	NM_012280
FTSJ2 	NM_013393
FTSJ3 	NM_017647
FTSJD1 	NM_018348
FTSJD2 	NM_015050
FUBP1 	NM_003902
FUK 	NM_145059
FUNDC2 	NM_023934
FXN 	NM_000144
FYTTD1 	NM_032288
FZR1 	NM_016263
G3BP1 	NM_005754
GAA 	NM_000152
GABARAP 	NM_007278
GABARAPL2 	NM_007285
GABPB1 	NM_002041
GADD45GIP1 	NM_052850
GALK2 	NM_002044
GALNS 	NM_000512
GALNT1 	NM_020474
GALNT2 	NM_004481
GALT 	NM_000155
GANAB 	NM_198334
GAPVD1 	NM_015635
GARS 	NM_002047
GART 	NM_000819
GATAD2A 	NM_017660
GATAD2B 	NM_020699
GATC 	NM_176818
GBA 	NM_000157
GBA2 	NM_020944
GBF1 	NM_004193
GCC1 	NM_024523
GCDH 	NM_000159
GCLC 	NM_001498
GCLM 	NM_002061
GDE1 	NM_016641
GDI2 	NM_001494
GDPGP1 	NM_001013657
GEMIN7 	NM_024707
GEMIN8 	NM_017856
GET4 	NM_015949
GFER 	NM_005262
GFM1 	NM_024996
GFOD2 	NM_001243650
GGCT 	NM_001199816
GGNBP2 	NM_024835
GGT7 	NM_178026
GHDC 	NM_001142623
GHITM 	NM_014394
GID8 	NM_017896
GINM1 	NM_138785
GIPC1 	NM_005716
GLCE 	NM_015554
GLE1 	NM_001499
GLG1 	NM_012201
GLI4 	NM_138465
GLO1 	NM_006708
GLRX2 	NM_001243399
GLRX3 	NM_006541
GLRX5 	NM_016417
GLT8D1 	NM_018446
GLTP 	NM_016433
GLTPD1 	NM_001029885
GLYR1 	NM_032569
GMPPA 	NM_013335
GMPR2 	NM_016576
GNB1 	NM_002074
GNB2 	NM_005273
GNE 	NM_005476
GNL2 	NM_013285
GNL3 	NM_014366
GNPAT 	NM_014236
GNPDA1 	NM_005471
GNPNAT1 	NM_198066
GNPTG 	NM_032520
GNS 	NM_002076
GOLGA1 	NM_002077
GOLGA2 	NM_004486
GOLGA3 	NM_005895
GOLGA5 	NM_005113
GOLGA7 	NM_016099
GOLGB1 	NM_004487
GOLPH3 	NM_022130
GOLT1B 	NM_016072
GOPC 	NM_020399
GORASP1 	NM_031899
GORASP2 	NM_015530
GOSR1 	NM_004871
GOSR2 	NM_004287
GPAA1 	NM_003801
GPANK1 	NM_033177
GPATCH4 	NM_015590
GPBP1 	NM_022913
GPBP1L1 	NM_021639
GPHN 	NM_020806
GPI 	NM_000175
GPKOW 	NM_015698
GPN1 	NM_007266
GPN2 	NM_018066
GPN3 	NM_016301
GPR107 	NM_020960
GPR108 	NM_001080452
GPS1 	NM_004127
GPS2 	NM_004489
GPX4 	NM_002085
GRAMD4 	NM_015124
GRHPR 	NM_012203
GRINA 	NM_000837
GRIPAP1 	NM_020137
GRPEL1 	NM_025196
GRSF1 	NM_002092
GRWD1 	NM_031485
GSK3A 	NM_019884
GSK3B 	NM_002093
GSPT1 	NM_002094
GSPT2 	NM_018094
GSR 	NM_000637
GSS 	NM_000178
GSTK1 	NM_001143681
GSTM4 	NM_000850
GSTO1 	NM_004832
GTDC2 	NM_032806
GTF2A1 	NM_015859
GTF2B 	NM_001514
GTF2F1 	NM_002096
GTF2F2 	NM_004128
GTF2H1 	NM_005316
GTF2H4 	NM_001517
GTF2H5 	NM_207118
GTF2I 	NM_001518
GTF3A 	NM_002097
GTF3C1 	NM_001520
GTF3C2 	NM_001521
GTF3C3 	NM_012086
GTF3C5 	NM_012087
GTF3C6 	NM_138408
GTPBP10 	NM_033107
GTPBP4 	NM_012341
GTPBP5 	NM_015666
GTPBP8 	NM_014170
GUK1 	NM_000858
GZF1 	NM_022482
H1FX 	NM_006026
H2AFV 	NM_012412
H2AFX 	NM_002105
H2AFY 	NM_004893
H2AFZ 	NM_002106
HADH 	NM_005327
HADHA 	NM_000182
HAGH 	NM_005326
HARS 	NM_002109
HARS2 	NM_012208
HAT1 	NM_003642
HAUS3 	NM_024511
HAUS4 	NM_017815
HAUS7 	NM_017518
HAX1 	NM_006118
HBP1 	NM_012257
HBS1L 	NM_006620
HCCS 	NM_005333
HCFC1 	NM_005334
HDAC2 	NM_001527
HDAC3 	NM_003883
HDAC6 	NM_006044
HDAC8 	NM_018486
HDDC3 	NM_198527
HDGF 	NM_004494
HDHD3 	NM_031219
HDLBP 	NM_005336
HEATR2 	NM_017802
HEATR5A 	NM_015473
HEBP1 	NM_015987
HECTD3 	NM_024602
HELZ 	NM_014877
HEMK1 	NM_016173
HERC4 	NM_015601
HERPUD1 	NM_014685
HERPUD2 	NM_022373
HEXA 	NM_000520
HEXDC 	NM_173620
HEXIM1 	NM_006460
HGS 	NM_004712
HIAT1 	NM_033055
HIATL1 	NM_032558
HIBADH 	NM_152740
HIGD1A 	NM_014056
HIGD2A 	NM_138820
HINFP 	NM_015517
HINT1 	NM_005340
HINT2 	NM_032593
HIST1H2BC 	NM_003526
HIVEP1 	NM_002114
HMBS 	NM_000190
HMG20A 	NM_018200
HMG20B 	NM_006339
HMGB1 	NM_002128
HMGN3 	NM_004242
HMGXB3 	NM_014983
HMGXB4 	NM_001003681
HMOX2 	NM_002134
HN1L 	NM_144570
HNRNPA0 	NM_006805
HNRNPA2B1 	NM_002137
HNRNPAB 	NM_004499
HNRNPC 	NM_004500
HNRNPD 	NM_002138
HNRNPF 	NM_004966
HNRNPH1 	NM_005520
HNRNPH2 	NM_019597
HNRNPK 	NM_002140
HNRNPL 	NM_001533
HNRNPM 	NM_005968
HNRNPR 	NM_005826
HNRNPU 	NM_004501
HNRNPUL1 	NM_007040
HNRNPUL2 	NM_001079559
HNRPDL 	NM_031372
HNRPLL 	NM_138394
HP1BP3 	NM_016287
HPS1 	NM_000195
HPS6 	NM_024747
HS1BP3 	NM_022460
HS2ST1 	NM_012262
HS6ST1 	NM_004807
HSBP1 	NM_001537
HSCB 	NM_172002
HSD17B10 	NM_004493
HSD17B12 	NM_016142
HSD17B4 	NM_000414
HSPA14 	NM_016299
HSPA4 	NM_002154
HSPA5 	NM_005347
HSPA8 	NM_006597
HSPA9 	NM_004134
HSPBP1 	NM_012267
HSPE1-MOB4 	NM_001202485
HTATIP2 	NM_006410
HTRA2 	NM_013247
HTT 	NM_002111
HUS1 	NM_004507
HUWE1 	NM_031407
HYOU1 	NM_006389
HYPK 	NM_016400
IAH1 	NM_001039613
IARS 	NM_002161
IARS2 	NM_018060
IBA57 	NM_001010867
IBTK 	NM_015525
ICK 	NM_014920
ICMT 	NM_012405
ICT1 	NM_001545
IDE 	NM_001165946
IDH3A 	NM_005530
IDH3B 	NM_006899
IDH3G 	NM_004135
IDI1 	NM_004508
IER3IP1 	NM_016097
IFNAR1 	NM_000629
IFNGR1 	NM_000416
IFRD1 	NM_001550
IFT27 	NM_006860
IKZF5 	NM_001271840
IL13RA1 	NM_001560
IL6ST 	NM_002184
ILF2 	NM_004515
ILKAP 	NM_030768
ILVBL 	NM_006844
IMMT 	NM_006839
IMP3 	NM_018285
IMP4 	NM_033416
IMPAD1 	NM_017813
INF2 	NM_022489
ING1 	NM_198217
INO80B 	NM_031288
INO80E 	NM_173618
INPP5A 	NM_005539
INPP5K 	NM_016532
INSIG2 	NM_016133
INTS1 	NM_001080453
INTS10 	NM_018142
INTS12 	NM_020395
INTS3 	NM_023015
INTS4 	NM_033547
INVS 	NM_014425
IP6K1 	NM_153273
IP6K2 	NM_001190316
IPO7 	NM_006391
IPO8 	NM_006390
IPO9 	NM_018085
IRAK1 	NM_001569
IREB2 	NM_004136
IRF2BP1 	NM_015649
IRF2BP2 	NM_182972
IRF2BPL 	NM_024496
IRGQ 	NM_001007561
ISCU 	NM_014301
ISOC2 	NM_024710
IST1 	NM_001270977
ISY1 	NM_020701
ISY1-RAB43 	NM_001204890
ITCH 	NM_031483
ITFG1 	NM_030790
ITFG3 	NM_032039
ITGB1 	NM_002211
ITGB1BP1 	NM_022334
ITM2B 	NM_021999
ITPA 	NM_033453
ITPK1 	NM_014216
ITPKC 	NM_025194
ITPRIPL2 	NM_001034841
IVNS1ABP 	NM_006469
IWS1 	NM_017969
JAGN1 	NM_032492
JAK1 	NM_002227
JKAMP 	NM_016475
JMJD4 	NM_023007
JMJD6 	NM_015167
JMJD7 	NM_001114632
JMJD8 	NM_001005920
JOSD2 	NM_138334
JTB 	NM_006694
JUND 	NM_005354
KANSL2 	NM_017822
KANSL3 	NM_001115016
KARS 	NM_005548
KAT2B 	NM_003884
KAT5 	NM_006388
KAT8 	NM_032188
KBTBD2 	NM_015483
KBTBD4 	NM_016506
KBTBD7 	NM_032138
KCMF1 	NM_020122
KCTD20 	NM_173562
KCTD21 	NM_001029859
KCTD6 	NM_153331
KDM2A 	NM_012308
KDM4A 	NM_014663
KDM5C 	NM_004187
KDSR 	NM_002035
KHDRBS1 	NM_006559
KHNYN 	NM_015299
KHSRP 	NM_003685
KIAA0100 	NM_014680
KIAA0141 	NM_014773
KIAA0195 	NM_014738
KIAA0196 	NM_014846
KIAA0232 	NM_014743
KIAA0319L 	NM_024874
KIAA0391 	NM_014672
KIAA0754 	NM_015038
KIAA0947 	NM_015325
KIAA1143 	NM_020696
KIAA1191 	NM_020444
KIAA1429 	NM_015496
KIAA1430 	NM_020827
KIAA1586 	NM_020931
KIAA1704 	NM_018559
KIAA1715 	NM_030650
KIAA1919 	NM_153369
KIAA1967 	NM_021174
KIAA2013 	NM_138346
KLC4 	NM_138343
KLF3 	NM_016531
KLF9 	NM_001206
KLHDC2 	NM_014315
KLHDC3 	NM_057161
KLHL20 	NM_014458
KLHL25 	NM_022480
KLHL36 	NM_024731
KLHL5 	NM_015990
KLHL8 	NM_020803
KPNA1 	NM_002264
KPNB1 	NM_002265
KRCC1 	NM_016618
KRR1 	NM_007043
KTI12 	NM_138417
KTN1 	NM_004986
KXD1 	NM_024069
L3MBTL2 	NM_031488
LACTB 	NM_032857
LAGE3 	NM_006014
LAMP1 	NM_005561
LAMP2 	NM_002294
LAMTOR1 	NM_017907
LAMTOR2 	NM_014017
LAMTOR3 	NM_021970
LAMTOR4 	NM_001008395
LAMTOR5 	NM_006402
LAP3 	NM_015907
LAPTM4A 	NM_014713
LARP1 	NM_015315
LARP4 	NM_052879
LARP7 	NM_015454
LARS2 	NM_015340
LCOR 	NM_032440
LDHA 	NM_005566
LEMD2 	NM_181336
LENG1 	NM_024316
LEPROT 	NM_017526
LETM1 	NM_012318
LETMD1 	NM_015416
LGALSL 	NM_014181
LHPP 	NM_022126
LIAS 	NM_006859
LIG3 	NM_002311
LIG4 	NM_002312
LIN37 	NM_019104
LIN54 	NM_001115007
LIN7C 	NM_018362
LINS 	NM_001040616
LIPT1 	NM_015929
LMAN1 	NM_005570
LMBRD1 	NM_018368
LMF2 	NM_033200
LMO4 	NM_006769
LNX2 	NM_153371
LOC100129361 	NM_001271592
LOC100289561 	NM_001242713
LOC441155 	NM_001271675
LOC729020 	NM_001143909
LONP1 	NM_004793
LONP2 	NM_031490
LPCAT3 	NM_005768
LPIN1 	NM_145693
LPPR2 	NM_022737
LRFN3 	NM_024509
LRPAP1 	NM_002337
LRPPRC 	NM_133259
LRRC14 	NM_014665
LRRC24 	NM_001024678
LRRC28 	NM_144598
LRRC40 	NM_017768
LRRC41 	NM_006369
LRRC42 	NM_052940
LRRC47 	NM_020710
LRRC57 	NM_153260
LRRC59 	NM_018509
LRRC8A 	NM_019594
LRRFIP2 	NM_017724
LRSAM1 	NM_138361
LSG1 	NM_018385
LSM1 	NM_014462
LSM10 	NM_032881
LSM14A 	NM_015578
LSM14B 	NM_144703
LSM2 	NM_021177
LSM3 	NM_014463
LSM4 	NM_012321
LSM5 	NM_012322
LSM6 	NM_007080
LSM7 	NM_016199
LSMD1 	NM_032356
LSS 	NM_002340
LTV1 	NM_032860
LUC7L2 	NM_016019
LUC7L3 	NM_006107
LUZP6 	NM_001128619
LYRM1 	NM_020424
LYRM4 	NM_020408
LYRM5 	NM_001001660
LYSMD1 	NM_212551
LYSMD3 	NM_198273
LYSMD4 	NM_152449
LZTR1 	NM_006767
M6PR 	NM_002355
MAD2L1BP 	NM_014628
MAD2L2 	NM_006341
MAEA 	NM_005882
MAGED1 	NM_006986
MAGEF1 	NM_022149
MAGOH 	NM_002370
MAGT1 	NM_032121
MAK16 	NM_032509
MALSU1 	NM_138446
MAN1A2 	NM_006699
MAN1B1 	NM_016219
MAN2A2 	NM_006122
MAN2B2 	NM_015274
MAN2C1 	NM_006715
MAP1LC3B2 	NM_001085481
MAP2K1 	NM_002755
MAP2K2 	NM_030662
MAP2K5 	NM_002757
MAP3K7 	NM_003188
MAP4K4 	NM_004834
MAPK1 	NM_002745
MAPK1IP1L 	NM_144578
MAPK6 	NM_002748
MAPK8 	NM_002750
MAPK9 	NM_002752
MAPKAP1 	NM_024117
MAPKAPK2 	NM_004759
MAPKAPK5 	NM_003668
MAPRE2 	NM_014268
MARCH2 	NM_016496
MARCH5 	NM_017824
MARCH6 	NM_005885
MARCH7 	NM_022826
MARK3 	NM_002376
MARK4 	NM_031417
MARS 	NM_004990
MARS2 	NM_138395
MAT2B 	NM_013283
MAVS 	NM_001206491
MAX 	NM_002382
MAZ 	NM_002383
MBD1 	NM_002384
MBD2 	NM_003927
MBD3 	NM_003926
MBD4 	NM_003925
MBLAC1 	NM_203397
MBNL2 	NM_144778
MBTPS1 	NM_003791
MBTPS2 	NM_015884
MCAT 	NM_014507
MCCC1 	NM_020166
MCEE 	NM_032601
MCFD2 	NM_139279
MCM3AP 	NM_003906
MCM7 	NM_005916
MCMBP 	NM_024834
MCOLN1 	NM_020533
MCPH1 	NM_001172574
MCRS1 	NM_006337
MCTS1 	NM_014060
MCU 	NM_001270680
MDC1 	NM_014641
MDP1 	NM_138476
ME2 	NM_002396
MEAF6 	NM_022756
MECP2 	NM_004992
MED10 	NM_032286
MED11 	NM_001001683
MED13 	NM_005121
MED14 	NM_004229
MED16 	NM_005481
MED19 	NM_153450
MED20 	NM_004275
MED21 	NM_004264
MED24 	NM_014815
MED29 	NM_017592
MED31 	NM_016060
MED4 	NM_014166
MED6 	NM_005466
MED7 	NM_004270
MED8 	NM_052877
MEF2A 	NM_005587
MEF2BNB 	NM_001145783
MEMO1 	NM_015955
MEN1 	NM_000244
MEPCE 	NM_019606
METAP1 	NM_015143
METAP2 	NM_006838
METRN 	NM_024042
METTL13 	NM_014955
METTL14 	NM_020961
METTL16 	NM_024086
METTL17 	NM_022734
METTL18 	NM_033418
METTL20 	NM_173802
METTL21A 	NM_145280
METTL23 	NM_001080510
METTL2A 	NM_181725
METTL2B 	NM_018396
METTL3 	NM_019852
METTL5 	NM_014168
MFAP1 	NM_005926
MFAP3 	NM_005927
MFF 	NM_020194
MFN1 	NM_033540
MFSD11 	NM_024311
MFSD12 	NM_174983
MFSD3 	NM_138431
MFSD5 	NM_032889
MGAT2 	NM_002408
MGAT4B 	NM_014275
MGME1 	NM_052865
MGMT 	NM_002412
MGRN1 	NM_015246
MGST3 	NM_004528
MIA3 	NM_198551
MIB1 	NM_020774
MICALL1 	NM_033386
MICU1 	NM_006077
MID1IP1 	NM_021242
MIDN 	NM_177401
MIEN1 	NM_032339
MIER1 	NM_001077701
MIF 	NM_002415
MIF4GD 	NM_020679
MIIP 	NM_021933
MINOS1 	NM_001032363
MIS12 	NM_024039
MITD1 	NM_138798
MKI67IP 	NM_032390
MKKS 	NM_018848
MKLN1 	NM_013255
MKNK1 	NM_003684
MKRN2 	NM_014160
MLEC 	NM_014730
MLF2 	NM_005439
MLH1 	NM_000249
MLLT1 	NM_005934
MLLT10 	NM_001195628
MLST8 	NM_022372
MLX 	NM_170607
MMAA 	NM_172250
MMADHC 	NM_015702
MMS19 	NM_022362
MNAT1 	NM_002431
MNF1 	NM_032340
MOB4 	NM_015387
MOGS 	NM_006302
MON1A 	NM_032355
MON2 	NM_015026
MORC2 	NM_014941
MORF4L2 	NM_012286
MOSPD1 	NM_019556
MPC2 	NM_015415
MPDU1 	NM_004870
MPG 	NM_002434
MPHOSPH10 	NM_005791
MPI 	NM_002435
MPLKIP 	NM_138701
MPND 	NM_032868
MPPE1 	NM_023075
MPV17L2 	NM_032683
MRFAP1 	NM_033296
MRFAP1L1 	NM_203462
MRI1 	NM_032285
MRM1 	NM_024864
MRP63 	NM_024026
MRPL1 	NM_020236
MRPL10 	NM_145255
MRPL11 	NM_016050
MRPL12 	NM_002949
MRPL13 	NM_014078
MRPL14 	NM_032111
MRPL15 	NM_014175
MRPL16 	NM_017840
MRPL17 	NM_022061
MRPL18 	NM_014161
MRPL19 	NM_014763
MRPL2 	NM_015950
MRPL20 	NM_017971
MRPL21 	NM_181514
MRPL22 	NM_014180
MRPL23 	NM_021134
MRPL24 	NM_024540
MRPL27 	NM_016504
MRPL28 	NM_006428
MRPL3 	NM_007208
MRPL30 	NM_145212
MRPL32 	NM_031903
MRPL33 	NM_004891
MRPL35 	NM_016622
MRPL36 	NM_032479
MRPL37 	NM_016491
MRPL38 	NM_032478
MRPL4 	NM_015956
MRPL40 	NM_003776
MRPL41 	NM_032477
MRPL42 	NM_014050
MRPL43 	NM_032112
MRPL44 	NM_022915
MRPL45 	NM_032351
MRPL46 	NM_022163
MRPL47 	NM_020409
MRPL48 	NM_016055
MRPL49 	NM_004927
MRPL50 	NM_019051
MRPL51 	NM_016497
MRPL52 	NM_178336
MRPL53 	NM_053050
MRPL54 	NM_172251
MRPL55 	NM_181441
MRPL9 	NM_031420
MRPS10 	NM_018141
MRPS11 	NM_022839
MRPS12 	NM_021107
MRPS14 	NM_022100
MRPS15 	NM_031280
MRPS16 	NM_016065
MRPS17 	NM_015969
MRPS18A 	NM_018135
MRPS18B 	NM_014046
MRPS18C 	NM_016067
MRPS2 	NM_016034
MRPS21 	NM_018997
MRPS22 	NM_020191
MRPS23 	NM_016070
MRPS24 	NM_032014
MRPS25 	NM_022497
MRPS26 	NM_030811
MRPS27 	NM_015084
MRPS28 	NM_014018
MRPS30 	NM_016640
MRPS31 	NM_005830
MRPS33 	NM_016071
MRPS34 	NM_023936
MRPS35 	NM_021821
MRPS5 	NM_031902
MRPS6 	NM_032476
MRPS7 	NM_015971
MRPS9 	NM_182640
MRRF 	NM_138777
MRS2 	NM_020662
MRTO4 	NM_016183
MSANTD3 	NM_080655
MSH3 	NM_002439
MSH6 	NM_000179
MSL3 	NM_006800
MSMP 	NM_001044264
MSRA 	NM_012331
MSRB2 	NM_012228
MTA2 	NM_004739
MTCH1 	NM_014341
MTCH2 	NM_014342
MTDH 	NM_178812
MTERFD1 	NM_015942
MTERFD2 	NM_182501
MTERFD3 	NM_025198
MTFMT 	NM_139242
MTFR1 	NM_014637
MTFR1L 	NM_019557
MTIF3 	NM_152912
MTM1 	NM_000252
MTMR1 	NM_003828
MTMR3 	NM_021090
MTMR6 	NM_004685
MTO1 	NM_012123
MTPAP 	NM_018109
MTRR 	NM_002454
MTSS1 	NM_014751
MTX2 	NM_006554
MUL1 	NM_024544
MUS81 	NM_025128
MUT 	NM_000255
MVD 	NM_002461
MXD4 	NM_006454
MXI1 	NM_005962
MYBBP1A 	NM_014520
MYEOV2 	NM_001163424
MYL12B 	NM_033546
MYNN 	NM_018657
MYO1E 	NM_004998
MYPOP 	NM_001012643
MZF1 	NM_003422
MZT2A 	NM_001085365
MZT2B 	NM_025029
N4BP1 	NM_153029
N4BP2L2 	NM_014887
NAA10 	NM_003491
NAA15 	NM_057175
NAA20 	NM_016100
NAA38 	NM_016200
NAA50 	NM_025146
NAA60 	NM_024845
NABP2 	NM_024068
NACA 	NM_001113202
NACA2 	NM_199290
NACC1 	NM_052876
NACC2 	NM_144653
NAE1 	NM_003905
NAMPT 	NM_005746
NANS 	NM_018946
NAP1L4 	NM_005969
NAPA 	NM_003827
NARF 	NM_012336
NARFL 	NM_022493
NARG2 	NM_024611
NARS 	NM_004539
NARS2 	NM_024678
NAT10 	NM_024662
NBN 	NM_002485
NBR1 	NM_005899
NCAPH2 	NM_014551
NCBP2 	NM_007362
NCK1 	NM_006153
NCKIPSD 	NM_016453
NCL 	NM_005381
NCLN 	NM_020170
NCOA1 	NM_003743
NCOA6 	NM_014071
NCOR1 	NM_006311
NCSTN 	NM_015331
NDEL1 	NM_030808
NDFIP1 	NM_030571
NDNL2 	NM_138704
NDST1 	NM_001543
NDUFA10 	NM_004544
NDUFA11 	NM_175614
NDUFA12 	NM_018838
NDUFA13 	NM_015965
NDUFA2 	NM_002488
NDUFA3 	NM_004542
NDUFA4 	NM_002489
NDUFA5 	NM_005000
NDUFA6 	NM_002490
NDUFA7 	NM_005001
NDUFA8 	NM_014222
NDUFA9 	NM_005002
NDUFAF2 	NM_174889
NDUFAF3 	NM_199069
NDUFAF4 	NM_014165
NDUFB10 	NM_004548
NDUFB11 	NM_019056
NDUFB2 	NM_004546
NDUFB3 	NM_002491
NDUFB4 	NM_004547
NDUFB5 	NM_002492
NDUFB6 	NM_002493
NDUFB7 	NM_004146
NDUFB8 	NM_005004
NDUFB9 	NM_005005
NDUFC1 	NM_002494
NDUFC2 	NM_004549
NDUFC2-KCTD14 	NM_001203260
NDUFS2 	NM_004550
NDUFS3 	NM_004551
NDUFS4 	NM_002495
NDUFS5 	NM_004552
NDUFS6 	NM_004553
NDUFS7 	NM_024407
NDUFS8 	NM_002496
NDUFV1 	NM_007103
NDUFV2 	NM_021074
NECAP1 	NM_015509
NEDD8 	NM_006156
NEDD8-MDP1 	NM_001199823
NEIL2 	NM_145043
NEK4 	NM_003157
NEK9 	NM_033116
NELFB 	NM_015456
NELFCD 	NM_198976
NELFE 	NM_002904
NENF 	NM_013349
NEU1 	NM_000434
NF2 	NM_000268
NFATC2IP 	NM_032815
NFE2L2 	NM_006164
NFIL3 	NM_005384
NFKBIB 	NM_002503
NFKBIL1 	NM_005007
NFU1 	NM_015700
NFX1 	NM_002504
NFYB 	NM_006166
NFYC 	NM_014223
NGDN 	NM_015514
NGLY1 	NM_018297
NGRN 	NM_001033088
NHP2 	NM_017838
NHP2L1 	NM_005008
NIF3L1 	NM_021824
NINJ1 	NM_004148
NIP7 	NM_016101
NIPA2 	NM_030922
NIPBL 	NM_015384
NISCH 	NM_001276293
NIT1 	NM_005600
NIT2 	NM_020202
NKAP 	NM_024528
NKIRAS2 	NM_017595
NMD3 	NM_015938
NME1-NME2 	NM_001018136
NME2 	NM_002512
NME3 	NM_002513
NME6 	NM_005793
NMRK1 	NM_017881
NMT1 	NM_021079
NOA1 	NM_032313
NOB1 	NM_014062
NOC2L 	NM_015658
NOL10 	NM_024894
NOL11 	NM_015462
NOL12 	NM_024313
NOL6 	NM_022917
NOL7 	NM_016167
NOL8 	NM_017948
NOLC1 	NM_004741
NOM1 	NM_138400
NONO 	NM_007363
NOP10 	NM_018648
NOP14 	NM_003703
NOP16 	NM_016391
NOP2 	NM_006170
NOP56 	NM_006392
NOP58 	NM_015934
NOP9 	NM_174913
NPC1 	NM_000271
NPC2 	NM_006432
NPLOC4 	NM_017921
NPRL2 	NM_006545
NPRL3 	NM_001039476
NQO2 	NM_000904
NR1H2 	NM_007121
NR2C1 	NM_003297
NR2C2AP 	NM_176880
NR3C2 	NM_001166104
NRBP1 	NM_013392
NRDE2 	NM_017970
NRIP1 	NM_003489
NSA2 	NM_014886
NSD1 	NM_022455
NSDHL 	NM_015922
NSFL1C 	NM_016143
NSMCE1 	NM_145080
NSMCE2 	NM_173685
NSMCE4A 	NM_017615
NSRP1 	NM_032141
NSUN2 	NM_017755
NSUN5 	NM_018044
NSUN6 	NM_182543
NT5C 	NM_014595
NT5C3 	NM_016489
NT5DC1 	NM_152729
NTAN1 	NM_173474
NTMT1 	NM_014064
NTPCR 	NM_032324
NUB1 	NM_016118
NUBP1 	NM_002484
NUBP2 	NM_012225
NUCB1 	NM_006184
NUCKS1 	NM_022731
NUDC 	NM_006600
NUDCD1 	NM_032869
NUDCD2 	NM_145266
NUDT14 	NM_177533
NUDT15 	NM_018283
NUDT2 	NM_001161
NUDT21 	NM_007006
NUDT22 	NM_032344
NUDT3 	NM_006703
NUDT9 	NM_024047
NUFIP2 	NM_020772
NUP107 	NM_020401
NUP133 	NM_018230
NUP153 	NM_005124
NUP54 	NM_017426
NUP62 	NM_012346
NUP85 	NM_024844
NUPL2 	NM_007342
NUTF2 	NM_005796
NXF1 	NM_006362
NXT1 	NM_013248
OAT 	NM_000274
OAZ1 	NM_004152
OAZ2 	NM_002537
OBFC1 	NM_024928
OCEL1 	NM_024578
OCIAD1 	NM_017830
ODC1 	NM_002539
OGFOD1 	NM_018233
OGFOD3 	NM_024648
OGFR 	NM_007346
OGG1 	NM_016827
OGT 	NM_181672
OLA1 	NM_013341
OPA1 	NM_015560
OPA3 	NM_025136
ORC4 	NM_002552
ORMDL1 	NM_016467
ORMDL2 	NM_014182
ORMDL3 	NM_139280
OS9 	NM_006812
OSBP 	NM_002556
OSBPL2 	NM_014835
OSBPL9 	NM_024586
OSGEP 	NM_017807
OSGIN2 	NM_004337
OSTM1 	NM_014028
OTUB1 	NM_017670
OTUD5 	NM_017602
OVCA2 	NM_080822
OXA1L 	NM_005015
OXNAD1 	NM_138381
P4HTM 	NM_177938
PA2G4 	NM_006191
PABPN1 	NM_004643
PACSIN2 	NM_007229
PAF1 	NM_019088
PAFAH1B1 	NM_000430
PAGR1 	NM_024516
PAICS 	NM_006452
PAIP1 	NM_006451
PAIP2 	NM_016480
PAK1IP1 	NM_017906
PAK2 	NM_002577
PAM16 	NM_016069
PANK2 	NM_024960
PANK3 	NM_024594
PANK4 	NM_018216
PANX1 	NM_015368
PAPD4 	NM_173797
PAPD7 	NM_006999
PAPOLA 	NM_032632
PARK7 	NM_007262
PARL 	NM_018622
PARN 	NM_002582
PARP1 	NM_001618
PARP3 	NM_005485
PARP9 	NM_001146106
PATL1 	NM_152716
PATZ1 	NM_014323
PAXBP1 	NM_013329
PBDC1 	NM_016500
